Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,True Label
0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,3
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,8
0.009132583,0.009133406,0.009132574,0.009132574,0.009132574,0.009132574,0.009132574,0.009132574,0.91780597,0.009132613,8
0.9178085,0.009132316,0.009132316,0.009132316,0.009132316,0.009132316,0.009132316,0.009132316,0.009132909,0.009132316,0
0.009237438,0.009237438,0.009237438,0.009237438,0.009355213,0.009237438,0.91674536,0.009237438,0.009237438,0.009237438,6
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,0.009131779,6
0.0091317985,0.9178137,0.0091317985,0.00913182,0.0091317985,0.0091317985,0.0091317985,0.0091317985,0.0091317985,0.0091317985,1
0.011369523,0.011369523,0.011620826,0.011369523,0.014209026,0.011369625,0.8945834,0.011369523,0.011369523,0.011369523,6
0.009202166,0.009202166,0.009202166,0.9171026,0.00924028,0.009216729,0.009202224,0.009227357,0.009202166,0.009202166,3
0.009132111,0.9178107,0.009132111,0.009132111,0.009132111,0.009132111,0.009132111,0.009132111,0.009132111,0.009132477,1
0.9178139,0.009131791,0.009131795,0.009131791,0.009131791,0.009131791,0.009131791,0.009131791,0.0091318,0.009131791,0
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,9
0.009132031,0.009132031,0.009132031,0.009132031,0.009132088,0.9178114,0.009132259,0.009132031,0.009132031,0.009132031,5
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,7
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,9
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,8
0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,5
0.009131784,0.009131784,0.009131784,0.009131784,0.009131784,0.009131787,0.009131784,0.917814,0.009131784,0.009131784,7
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,8
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,0.009131779,6
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,7
0.917814,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0
0.009136093,0.009136093,0.009140843,0.009136093,0.91777045,0.009136093,0.009136093,0.009136093,0.009136093,0.009136093,4
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,9
0.009132023,0.009132023,0.009132023,0.009132023,0.009132293,0.9178114,0.009132023,0.009132023,0.009132023,0.009132023,5
0.009131779,0.009131779,0.917814,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,2
0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,4
0.917814,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,9
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,0.009131779,6
0.009190814,0.009190814,0.009190828,0.00925624,0.009190814,0.009190814,0.9172172,0.009190814,0.009190814,0.009190814,6
0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,5
0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,4
0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,5
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,9
0.009286726,0.009286726,0.9162458,0.009456878,0.009286726,0.009290252,0.009286726,0.009286726,0.009286726,0.009286726,2
0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,4
0.009131779,0.917814,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,1
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,9
0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,5
0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,4
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,0.009131779,6
0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,5
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,0.009131779,6
0.917814,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,9
0.009133695,0.009133695,0.009133695,0.91779464,0.009133695,0.009135802,0.009133695,0.009133695,0.009133695,0.009133695,3
0.009175367,0.009175367,0.009175367,0.009220937,0.009175367,0.009175367,0.009175367,0.009178005,0.009175367,0.9173735,9
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,7
0.009132729,0.009132729,0.009132737,0.009132729,0.009133769,0.009132729,0.91780436,0.009132729,0.009132729,0.009132729,6
0.009131917,0.009131917,0.009132074,0.009131917,0.009131917,0.009131917,0.009131917,0.009131917,0.009131917,0.9178126,9
0.009132555,0.009132555,0.009133408,0.009132555,0.009132555,0.009132555,0.009132555,0.009132555,0.91780615,0.009132555,8
0.917814,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0
0.009374811,0.009374811,0.009374811,0.91535133,0.009374811,0.009650203,0.009374811,0.009374811,0.009374811,0.009374811,3
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,8
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,8
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,7
0.009131964,0.009131991,0.009131964,0.009131964,0.009131964,0.009131964,0.009131964,0.9178121,0.009131964,0.009132148,7
0.009131778,0.009131778,0.009131778,0.009131778,0.9178139,0.009131778,0.009131778,0.009131778,0.009131778,0.009131778,4
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,0.009131779,6
0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.009131779,0.917814,0.009131779,0.009131779,7
0.00913189,0.00913189,0.009131989,0.9178128,0.00913189,0.009131903,0.00913189,0.009131903,0.00913189,0.00913189,3
