Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,True Label
4.7833375e-25,6.4659656e-34,3.2689493e-20,1.4686452e-19,1.5987448e-31,2.405382e-30,0.0,1.0,2.6977718e-26,8.5910467e-19,7
3.028714e-32,2.477021e-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1.0124768e-19,1.0,5.5379334e-13,2.5674277e-17,3.2228303e-14,1.9582909e-14,6.080108e-13,3.7090084e-11,1.5402748e-08,2.682794e-22,1
1.0,0.0,1.4099892e-23,3.9629922e-37,5.0801034e-31,4.88056e-35,5.609375e-27,1.8549933e-32,0.0,4.5551414e-26,0
2.9235245e-27,0.0,1.4014328e-28,0.0,1.0,5.336289e-37,7.153235e-28,3.285155e-25,1.5465074e-26,3.4278204e-14,4
1.050254e-27,1.0,1.148208e-23,3.2989991e-22,9.795725e-19,2.4376216e-28,4.633185e-24,3.272194e-12,3.7522704e-15,6.654263e-27,1
0.0,9.6310475e-30,3.5926254e-26,5.622609e-29,1.0,2.4953224e-29,3.0794257e-33,3.1582171e-18,1.7201566e-08,7.793651e-13,4
4.671668e-36,1.8871677e-25,4.0684225e-15,7.56939e-08,9.839713e-15,8.3829374e-14,3.126426e-34,2.2130403e-14,2.633982e-18,0.9999999,9
0.0,0.0,4.1872586e-19,4.5008934e-30,2.755491e-29,0.99998033,1.9690084e-05,2.5597316e-31,9.997373e-14,2.4560131e-24,5
0.0,0.0,0.0,8.097842e-32,2.307763e-12,0.0,0.0,5.5781514e-14,1.6196565e-19,1.0,9
1.0,0.0,1.08503416e-23,0.0,0.0,4.192868e-36,9.214172e-35,3.4038055e-33,0.0,9.490378e-38,0
2.1956452e-23,0.0,3.2018355e-20,0.0,1.1291963e-37,7.380785e-27,1.0,0.0,1.3274914e-15,0.0,6
0.0,0.0,3.9091622e-38,6.6364487e-25,1.861555e-19,2.8681547e-38,0.0,1.2939663e-25,3.28057e-26,1.0,9
1.0,0.0,1.6816395e-35,0.0,0.0,9.673043e-33,1.0324184e-27,3.6782577e-33,1.2501187e-33,1.6157756e-33,0
0.0,1.0,8.62444e-34,2.1653447e-22,1.3580551e-22,1.2342718e-35,1.613433e-28,8.1319435e-20,1.5243496e-19,2.4765108e-27,1
1.8193996e-31,5.027146e-16,3.4438504e-25,6.201011e-12,9.100326e-36,1.0,6.923764e-30,9.392615e-26,1.213134e-22,2.5591035e-27,5
4.365292e-25,0.0,8.6058185e-24,5.6051553e-37,3.596128e-15,3.5696402e-38,0.0,2.930068e-19,1.0552368e-21,1.0,9
6.4429347e-22,0.0,4.5885203e-19,3.9885912e-23,0.0,1.5965773e-36,0.0,1.0,0.0,2.2449001e-18,7
1.8516315e-28,6.643544e-32,5.66083e-22,1.0,9.335921e-27,5.399367e-18,2.6346935e-27,3.295233e-33,3.038231e-10,1.0331194e-20,3
0.0,1.065723e-35,8.548841e-34,0.0,1.0,1.0445542e-31,6.1539446e-37,1.7220084e-23,4.3575256e-31,3.1498084e-25,4
2.135262e-25,2.89741e-20,3.9662493e-34,5.7775774e-19,1.9373744e-14,5.3899797e-19,2.936173e-29,9.8394835e-08,3.2984835e-14,0.9999999,9
7.824314e-22,9.286997e-37,1.6456408e-17,1.7188144e-28,2.1957379e-15,3.856492e-08,1.0,3.0945094e-26,1.2390435e-16,1.5994746e-19,6
1.8044519e-28,0.0,3.4928426e-25,2.293429e-37,2.8367134e-27,6.622759e-35,1.0,0.0,2.8759416e-25,3.5989192e-35,6
0.0,0.0,0.0,3.920028e-26,0.0,1.0,3.086785e-35,0.0,4.7533895e-36,6.627523e-31,5
1.6646188e-26,5.1361173e-34,6.71272e-28,5.6282633e-33,1.0,2.1143647e-27,1.3413801e-27,4.3380143e-19,3.845839e-24,3.3969316e-10,4
1.0,0.0,3.6508082e-38,0.0,1.9907937e-31,0.0,6.4067726e-33,3.486569e-35,0.0,0.0,0
6.073214e-35,0.0,1.7600993e-27,1.0431388e-27,0.0,4.291363e-37,0.0,1.0,1.4138789e-37,9.5449907e-29,7
